pres.abs;northing;easting;altitude;distance;NoOfPools;avrain;meanmin;meanmax
1;115;1047;1500;500;232;155;3.56666666666667;14
1;110;1042;1520;250;66;157.6666667;3.46666666666667;13.8
1;112;1040;1540;250;32;159.6666667;3.4;13.6
1;109;1033;1590;250;9;165;3.2;13.1666666666667
1;109;1032;1590;250;67;165;3.2;13.1666666666667
1;106;1018;1600;500;12;167.3333333;3.13333333333333;13.0666666666667
1;105;1015;1600;250;30;167.3333333;3.1;13.0666666666667
1;84;1014;1560;750;13;165;3.3;13.4
1;88;1023;1560;250;4;164;3.3;13.4333333333333
1;91;1025;1560;250;14;164;3.3;13.4333333333333
1;105;1037;1580;500;9;164.3333333;3.23333333333333;13.2666666666667
1;110;1047;1520;500;11;157.6666667;3.46666666666667;13.8
1;98;1019;1460;750;7;153.3333333;3.66666666666667;14.3
1;91;1018;1510;250;16;159;3.5;13.8666666666667
1;89;1020;1520;250;10;160.3333333;3.46666666666667;13.7666666666667
1;198;1090;1320;500;24;129;4.1;15.7
1;197;1086;1320;500;8;129.3333333;4.1;15.7
1;190;1119;1300;500;6;127;4.23333333333333;15.8333333333333
1;194;1117;1300;250;19;126.3333333;4.23333333333333;15.8666666666667
1;192;1100;1320;250;20;129.3333333;4.13333333333333;15.7
1;191;1103;1320;250;10;129.3333333;4.13333333333333;15.7
1;200;1127;1320;500;2;128.3333333;4.13333333333333;15.7
1;192;1108;1320;500;20;129;4.13333333333333;15.7
1;187;1105;1300;250;34;127.3333333;4.23333333333333;15.8333333333333
1;187;1108;1300;250;6;127;4.23333333333333;15.8333333333333
1;204;1130;1340;500;3;129.6666667;4.1;15.5
1;195;1119;1300;250;14;126.3333333;4.23333333333333;15.8666666666667
1;136;1101;1300;250;9;131;4.33333333333333;15.7666666666667
1;133;1098;1300;250;8;131.3333333;4.33333333333333;15.7666666666667
1;201;1216;1400;750;11;134.6666667;4.06666666666667;14.9333333333333
1;198;1182;1480;3250;24;143.3333333;3.8;14.2
1;208;1222;1360;750;7;130.3333333;4.13333333333333;15.3333333333333
1;219;1155;1420;3250;13;136.6666667;3.9;14.7666666666667
1;214;1092;1480;1000;23;143.3333333;3.6;14.2333333333333
1;230;1094;1580;500;15;150.6666667;3.2;13.4
1;223;1072;1530;1000;23;147.3333333;3.33333333333333;13.8
1;227;1082;1500;500;48;144;3.5;14.0666666666667
1;209;1066;1480;500;23;144.6666667;3.56666666666667;14.2333333333333
1;205;1063;1480;500;8;144.6666667;3.56666666666667;14.2333333333333
1;204;1061;1480;500;4;145;3.56666666666667;14.2
1;208;1070;1460;500;34;142.6666667;3.63333333333333;14.4
1;227;1085;1540;500;24;147.6666667;3.33333333333333;13.7333333333333
1;217;1089;1490;500;80;144;3.56666666666667;14.1333333333333
1;213;1088;1480;500;42;144;3.56666666666667;14.2333333333333
1;182;1007;1480;1250;34;149;3.46666666666667;14.2
1;203;1053;1520;500;21;149;3.4;13.8666666666667
1;200;1050;1500;500;34;147.6666667;3.46666666666667;14.0333333333333
1;191;1039;1460;250;32;145;3.6;14.4
1;193;1037;1480;250;45;147;3.53333333333333;14.2
1;194;1035;1480;250;10;146.6666667;3.53333333333333;14.2
1;188;1017;1500;500;19;149.6666667;3.4;14.0333333333333
1;186;1020;1500;500;28;149.6666667;3.43333333333333;14.0333333333333
1;202;995;1600;750;110;157.6666667;2.96666666666667;13.1666666666667
1;203;1002;1540;750;43;152;3.2;13.6666666666667
1;229;1106;1480;1250;47;141.6666667;3.6;14.2333333333333
1;222;1119;1460;1500;6;140.6666667;3.73333333333333;14.3666666666667
1;228;1092;1560;500;68;149;3.26666666666667;13.5333333333333
1;209;1009;1600;750;24;156.3333333;2.96666666666667;13.1666666666667
1;233;1087;1560;750;11;148.3333333;3.23333333333333;13.5333333333333
1;219;991;1600;500;25;155.3333333;2.93333333333333;13.1666666666667
1;217;1043;1600;250;96;154.6666667;3;13.2
1;217;1042;1600;250;75;154.6666667;3;13.2
1;217;1023;1620;2000;14;157;2.9;13.0333333333333
1;216;995;1600;500;52;156;2.93333333333333;13.1666666666667
1;188;955;1580;1750;12;158.3333333;2.96666666666667;13.3
1;226;981;1600;1250;8;154.6666667;2.86666666666667;13.1666666666667
1;272;1014;1700;2000;86;158.3333333;2.46666666666667;12.4333333333333
1;291;1008;1620;750;42;147;2.76666666666667;13.1333333333333
1;288;1006;1620;750;32;148;2.76666666666667;13.1333333333333
1;297;1032;1620;1750;5;146.6666667;2.76666666666667;13.1666666666667
1;311;1009;1700;2000;108;153.6666667;2.4;12.4666666666667
1;312;1026;1700;500;40;153;2.43333333333333;12.5
1;313;1030;1680;500;60;150.6666667;2.5;12.6666666666667
1;303;916;1640;2500;13;147.3333333;2.5;12.9333333333333
1;312;891;1620;2500;24;143;2.53333333333333;13.1333333333333
1;285;821;1670;8000;89;154;2.3;12.5333333333333
0;297;897;1660;1500;32;150.3333333;2.4;12.7
0;297;802;1610;2250;18;143;2.46666666666667;13.1666666666667
0;208;972;1620;1250;36;159.3333333;2.83333333333333;13
0;211;977;1620;1500;48;158.6666667;2.83333333333333;13
0;302;809;1600;2000;12;140.3333333;2.46666666666667;13.2666666666667
0;290;809;1600;1250;12;142.6666667;2.46666666666667;13.2666666666667
0;300;812;1580;1750;14;138;2.56666666666667;13.4666666666667
0;328;1086;1490;5750;23;131.3333333;3.26666666666667;14.3333333333333
0;170;935;1640;3750;67;167.6666667;2.73333333333333;12.7333333333333
0;178;942;1520;2500;5;154.3333333;3.2;13.8333333333333
0;311;932;1600;2000;56;141.6666667;2.63333333333333;13.3333333333333
0;300;908;1640;750;27;147.3333333;2.5;12.9
0;310;886;1660;500;58;148;2.4;12.7333333333333
0;312;877;1700;1500;18;153.6666667;2.2;12.3666666666667
0;301;904;1650;1250;32;148.6666667;2.46666666666667;12.8
0;298;876;1730;2000;26;160;2.13333333333333;12.0666666666667
0;302;915;1640;2500;46;147.3333333;2.5;12.9333333333333
0;305;920;1650;500;62;148.3333333;2.5;12.8333333333333
0;106;1026;1560;250;22;162.6666667;3.3;13.4666666666667
0;299;900;1660;1500;22;150.3333333;2.4;12.7
0;297;1012;1650;750;34;149.3333333;2.63333333333333;12.8666666666667
0;298;1015;1650;1250;38;149.3333333;2.63333333333333;12.8666666666667
0;298;1010;1640;1000;16;148.3333333;2.66666666666667;12.9666666666667
0;289;1006;1640;250;48;149.3333333;2.66666666666667;12.9666666666667
0;299;1005;1610;750;12;145.3333333;2.76666666666667;13.2
0;232;1142;1560;1750;28;147.6666667;3.36666666666667;13.5333333333333
0;302;1079;1600;4500;3;144;2.9;13.3333333333333
0;302;1084;1560;5250;2;140.3333333;3.06666666666667;13.6666666666667
0;308;1089;1580;5750;4;141.3333333;3;13.5
0;290;801;1510;1500;12;133.6666667;2.8;14.1
0;291;803;1520;1750;9;133.6666667;2.76666666666667;14
0;289;801;1510;1750;3;133.6666667;2.8;14.1
0;283;818;1680;250;32;155.6666667;2.26666666666667;12.4333333333333
0;281;832;1700;1250;21;158.6666667;2.2;12.2666666666667
0;283;831;1670;1000;62;154;2.3;12.5666666666667
0;285;825;1670;500;34;154;2.3;12.5333333333333
0;289;1033;1540;750;19;140.3333333;3.06666666666667;13.8
0;305;1042;1590;1250;8;142.6666667;2.86666666666667;13.4
0;303;1043;1600;1250;3;144;2.86666666666667;13.3
0;309;1045;1570;1500;6;140.6666667;2.96666666666667;13.6
0;298;1042;1580;1250;62;142.3333333;2.96666666666667;13.5
0;227;986;1610;2500;10;155.3333333;2.86666666666667;13.1
0;219;717;1620;12000;32;164;2.46666666666667;12.8333333333333
0;332;1092;1490;6500;4;131;3.26666666666667;14.3333333333333
0;335;1098;1490;7000;3;130.6666667;3.26666666666667;14.3333333333333
0;330;1090;1500;6250;22;131.6666667;3.23333333333333;14.2333333333333
0;333;1096;1490;6750;6;130.6666667;3.26666666666667;14.3333333333333
0;199;1003;1600;500;32;157.6666667;2.96666666666667;13.1666666666667
0;238;1142;1560;2750;7;147;3.33333333333333;13.5333333333333
0;240;1139;1540;2250;5;145.3333333;3.4;13.7333333333333
0;263;786;1600;4000;11;148.6666667;2.5;13.1666666666667
0;256;775;1510;5250;3;141.6666667;2.8;14
0;186;1096;1320;500;11;130;4.13333333333333;15.7
0;192;1112;1290;500;28;125.6666667;4.23333333333333;15.9333333333333
0;197;1121;1290;500;4;124.6666667;4.23333333333333;15.9333333333333
0;186;1125;1300;750;12;127;4.23333333333333;15.8333333333333
0;195;1124;1300;250;15;126;4.23333333333333;15.8666666666667
0;184;1131;1290;1700;25;126;4.3;15.9333333333333
0;198;1093;1320;250;16;129;4.1;15.7
0;296;740;1540;8000;40;132.3333333;2.6;13.8
0;280;730;1640;9000;16;151.6666667;2.26666666666667;12.7333333333333
0;145;945;1400;4500;5;147.3333333;3.73333333333333;14.8666666666667
0;154;954;1380;3500;23;144;3.73333333333333;15.0666666666667
0;163;955;1400;250;22;145.3333333;3.7;14.9
0;199;977;1580;1750;12;156.6666667;3;13.3333333333333
0;201;988;1560;750;32;154.3333333;3.1;13.4666666666667
1;244;998;1670;2500;6;159;2.63333333333333;12.6333333333333
0;196;937;1780;2000;53;180.6666667;2.16666666666667;11.6
0;227;1107;1570;250;12;149.6666667;3.26666666666667;13.4666666666667
0;238;1113;1600;1250;22;151;3.1;13.2333333333333
0;243;1112;1600;1500;3;150.6666667;3.1;13.2333333333333
0;243;1109;1570;1500;1;148;3.2;13.5333333333333
0;239;1110;1610;1000;5;151.6666667;3.1;13.2
0;238;1118;1560;1750;8;147.6666667;3.3;13.5333333333333
0;195;947;1680;1000;32;168.6666667;2.56666666666667;12.4333333333333
0;244;824;1760;4000;9;176;2.06666666666667;11.7
0;286;730;1660;9000;6;153.3333333;2.23333333333333;12.5666666666667
0;282;718;1700;10000;4;160.3333333;2.06666666666667;12.1333333333333
0;261;729;1600;9500;5;150.3333333;2.46666666666667;13.1
0;285;735;1600;8500;26;144;2.4;13.1666666666667
0;128;1075;1300;2500;9;132;4.26666666666667;15.7666666666667
0;301;1031;1620;500;52;145.6666667;2.76666666666667;13.1666666666667
0;299;1021;1700;1750;82;155;2.43333333333333;12.4666666666667
0;304;1022;1700;1000;100;154;2.43333333333333;12.4666666666667
0;305;1014;1660;750;6;149.6666667;2.56666666666667;12.8
0;313;1015;1710;750;8;154;2.4;12.4
0;295;1034;1610;250;27;145.6666667;2.83333333333333;13.2
0;316;1022;1690;500;43;151.3333333;2.43333333333333;12.5666666666667
0;301;1012;1620;1000;18;145.6666667;2.73333333333333;13.1666666666667
0;308;1024;1710;500;52;155;2.4;12.4
0;223;1043;1600;500;20;154;3;13.2
0;221;1034;1700;750;40;164.6666667;2.6;12.3666666666667
0;165;1065;1290;3750;10;129;4.23333333333333;15.9
0;143;1045;1300;2750;17;132.3333333;4.2;15.8
0;159;1045;1330;3250;7;134.6666667;4.1;15.5333333333333
0;152;1043;1320;3750;14;134;4.1;15.6
0;155;1047;1350;3750;2;137;4;15.3333333333333
0;217;1017;1600;1250;21;155;2.96666666666667;13.1666666666667
0;180;958;1580;1250;4;159.6666667;3;13.3
0;187;1024;1480;250;42;148;3.5;14.2
0;192;1026;1480;750;36;147.3333333;3.5;14.2
0;212;1093;1480;250;32;144;3.6;14.2333333333333
0;263;1012;1640;1000;4;153.3333333;2.73333333333333;12.9333333333333
0;207;707;1640;14000;46;171.3333333;2.36666666666667;12.6
0;185;673;1720;18000;12;198.3333333;2.1;11.7333333333333
1;104;1016;1600;250;6;167.3333333;3.13333333333333;13.0666666666667
1;203;962;1680;1500;42;166.6666667;2.56666666666667;12.4666666666667
0;136;1097;1300;500;6;131;4.26666666666667;15.7666666666667
0;208;1219;1350;750;21;129;4.13333333333333;15.4333333333333
0;126;1120;1500;2000;6;151.6666667;3.66666666666667;13.9666666666667
0;132;1130;1520;2750;4;153;3.63333333333333;13.8333333333333
0;317;998;1700;1500;8;152.6666667;2.4;12.4666666666667
0;304;988;1660;2000;24;149.6666667;2.53333333333333;12.7666666666667
0;295;984;1680;2500;34;153;2.46666666666667;12.6333333333333
0;289;990;1700;1750;42;156.3333333;2.4;12.4333333333333
0;280;985;1800;2250;112;170;2.03333333333333;11.6
0;270;978;1790;3250;26;170;2.06666666666667;11.6333333333333
0;268;995;1720;2000;22;161.6666667;2.33333333333333;12.2333333333333
0;273;1002;1760;1000;18;165.6666667;2.23333333333333;11.9
0;119;1003;1600;500;6;166.6666667;3.1;13.0666666666667
0;132;1092;1280;750;5;129;4.33333333333333;15.9666666666667
0;217;1017;1600;750;23;155;2.96666666666667;13.1666666666667
0;228;984;1600;750;4;154.3333333;2.86666666666667;13.1666666666667
0;246;1000;1600;500;3;151.6666667;2.86666666666667;13.2666666666667
0;226;968;1600;1500;6;155;2.86666666666667;13.1666666666667
0;212;998;1600;750;16;156.3333333;2.96666666666667;13.1666666666667
0;220;1051;1580;1000;3;152.3333333;3.1;13.3666666666667
0;224;988;1610;750;12;155.6666667;2.86666666666667;13.1
0;255;1008;1620;1500;8;152.3333333;2.83333333333333;13.0666666666667
0;289;1033;1640;2000;4;149.3333333;2.73333333333333;12.9666666666667
0;295;1046;1580;1500;6;143.3333333;2.96666666666667;13.5
0;143;1047;1300;3000;4;132.3333333;4.2;15.8
0;299;730;1580;8000;16;138;2.43333333333333;13.4
0;287;730;1640;9000;8;150.3333333;2.26666666666667;12.7666666666667
0;269;729;1660;9500;30;157;2.26666666666667;12.5333333333333
0;186;1108;1440;2750;8;142.3333333;3.76666666666667;14.5333333333333
